,time,bid1,bsize1,ask1,asize1,bid2,bsize2,ask2,asize2,bid3,bsize3,ask3,asize3,bid4,bsize4,ask4,asize4,bid5,bsize5,ask5,asize5,bid6,bsize6,ask6,asize6,bid7,bsize7,ask7,asize7,bid8,bsize8,ask8,asize8,bid9,bsize9,ask9,asize9,bid10,bsize10,ask10,asize10
10,34230000,9.95,96500,9.96,7600,9.94,7000,9.97,45509,9.93,25300,9.98,95420,9.92,125900,9.99,189879,9.91,57700,10.0,153763,9.9,111200,10.01,67760,9.89,48200,10.02,38217,9.88,36600,10.03,96800,9.87,49700,10.04,93460,9.86,38200,10.05,347190
11,34232000,9.95,101500,9.96,7600,9.94,7000,9.97,45509,9.93,25300,9.98,95420,9.92,125900,9.99,189879,9.91,57700,10.0,153763,9.9,111200,10.01,67760,9.89,48200,10.02,38217,9.88,36600,10.03,96800,9.87,49700,10.04,93460,9.86,38200,10.05,347190
12,34234000,9.95,101500,9.96,5600,9.94,7000,9.97,45509,9.93,25300,9.98,95420,9.92,125900,9.99,189879,9.91,57700,10.0,153763,9.9,111200,10.01,67760,9.89,48200,10.02,38217,9.88,36600,10.03,96800,9.87,49700,10.04,93460,9.86,38200,10.05,347190
13,34239000,9.95,99500,9.96,5600,9.94,7000,9.97,45509,9.93,25300,9.98,95420,9.92,125900,9.99,189879,9.91,57700,10.0,153763,9.9,111200,10.01,67760,9.89,48200,10.02,38217,9.88,36600,10.03,93800,9.87,49700,10.04,93460,9.86,38200,10.05,347190
14,34241000,9.95,99500,9.96,4400,9.94,7000,9.97,41909,9.93,25300,9.98,95420,9.92,126400,9.99,189479,9.91,57700,10.0,153763,9.9,111200,10.01,67760,9.89,48200,10.02,38217,9.88,36600,10.03,93800,9.87,49700,10.04,93460,9.86,38200,10.05,347190
15,34245000,9.95,104100,9.96,4700,9.94,7000,9.97,41909,9.93,25800,9.98,95420,9.92,126400,9.99,184479,9.91,57700,10.0,155963,9.9,111200,10.01,67760,9.89,48200,10.02,38217,9.88,36600,10.03,93800,9.87,49700,10.04,93460,9.86,38200,10.05,347190
16,34248000,9.95,100400,9.96,900,9.94,7000,9.97,41909,9.93,25800,9.98,95420,9.92,128400,9.99,184479,9.91,57700,10.0,155813,9.9,111200,10.01,67760,9.89,48200,10.02,38217,9.88,36600,10.03,93800,9.87,49700,10.04,93460,9.86,38200,10.05,347190
17,34251000,9.95,100200,9.96,800,9.94,7000,9.97,41909,9.93,25900,9.98,95420,9.92,128400,9.99,184479,9.91,62700,10.0,156313,9.9,111200,10.01,67760,9.89,48200,10.02,38217,9.88,36600,10.03,93800,9.87,49700,10.04,93460,9.86,38200,10.05,347190
18,34254000,9.95,100200,9.96,800,9.94,7000,9.97,41909,9.93,25900,9.98,95420,9.92,128400,9.99,184479,9.91,62700,10.0,156613,9.9,111200,10.01,67760,9.89,48200,10.02,38217,9.88,41600,10.03,93800,9.87,49700,10.04,93460,9.86,38200,10.05,347190
19,34256000,9.95,100000,9.97,41909,9.94,7000,9.98,95420,9.93,25900,9.99,184479,9.92,128400,10.0,156613,9.91,62700,10.01,67760,9.9,111200,10.02,38217,9.89,48200,10.03,93800,9.88,41600,10.04,93460,9.87,49700,10.05,347190,9.86,38200,10.06,58277
20,34259000,9.95,100000,9.96,50000,9.94,7000,9.97,41909,9.93,25900,9.98,95420,9.92,128900,9.99,184479,9.91,62700,10.0,156613,9.9,111200,10.01,67760,9.89,48200,10.02,38217,9.88,41600,10.03,93800,9.87,49700,10.04,93460,9.86,38200,10.05,347190
21,34262000,9.95,95900,9.96,41000,9.94,7000,9.97,41909,9.93,28400,9.98,95420,9.92,129900,9.99,184479,9.91,62700,10.0,156613,9.9,111200,10.01,67760,9.89,48200,10.02,38217,9.88,41600,10.03,93800,9.87,49700,10.04,93460,9.86,38200,10.05,347190
22,34264000,9.95,95900,9.96,41000,9.94,7000,9.97,41909,9.93,28400,9.98,95420,9.92,129900,9.99,184479,9.91,62700,10.0,156613,9.9,113200,10.01,67760,9.89,47700,10.02,38217,9.88,41600,10.03,93800,9.87,49700,10.04,93460,9.86,38200,10.05,347190
23,34269000,9.95,98400,9.96,42000,9.94,7000,9.97,41909,9.93,28400,9.98,95420,9.92,129900,9.99,184479,9.91,62700,10.0,156613,9.9,113200,10.01,67760,9.89,47700,10.02,38217,9.88,41600,10.03,93800,9.87,49700,10.04,93460,9.86,44200,10.05,347340
24,34272000,9.95,99400,9.96,31900,9.94,7000,9.97,42009,9.93,28400,9.98,95420,9.92,129900,9.99,184479,9.91,62700,10.0,156613,9.9,113200,10.01,67760,9.89,47700,10.02,38217,9.88,41600,10.03,93800,9.87,49700,10.04,93460,9.86,44200,10.05,347340
25,34274000,9.95,196500,9.96,31900,9.94,7000,9.97,42209,9.93,28400,9.98,95420,9.92,129900,9.99,184479,9.91,63200,10.0,156613,9.9,113200,10.01,67760,9.89,47700,10.02,38217,9.88,41600,10.03,93800,9.87,49700,10.04,93460,9.86,44200,10.05,347340
26,34278000,9.95,197000,9.96,31800,9.94,7000,9.97,41409,9.93,28400,9.98,95420,9.92,129900,9.99,184479,9.91,63200,10.0,156613,9.9,113200,10.01,67760,9.89,47700,10.02,38217,9.88,41600,10.03,93800,9.87,49700,10.04,93460,9.86,44200,10.05,347340
27,34280000,9.96,68200,9.97,41409,9.95,197000,9.98,95420,9.94,7000,9.99,184479,9.93,28400,10.0,156613,9.92,129900,10.01,67760,9.91,64200,10.02,38217,9.9,113200,10.03,93800,9.89,47700,10.04,93460,9.88,42200,10.05,347340,9.87,49700,10.06,58277
28,34284000,9.96,50480,9.97,41409,9.95,197000,9.98,95420,9.94,8000,9.99,184479,9.93,28900,10.0,157613,9.92,129900,10.01,67760,9.91,64200,10.02,38217,9.9,113200,10.03,93800,9.89,47700,10.04,93460,9.88,42200,10.05,348340,9.87,49700,10.06,58277
29,34286000,9.96,48880,9.97,41409,9.95,197000,9.98,95420,9.94,8000,9.99,184479,9.93,28900,10.0,156413,9.92,129900,10.01,67760,9.91,64200,10.02,38217,9.9,113200,10.03,93800,9.89,47700,10.04,93460,9.88,42200,10.05,348340,9.87,49700,10.06,58277
30,34290000,9.96,48880,9.97,42009,9.95,198000,9.98,95420,9.94,8000,9.99,184479,9.93,28900,10.0,156413,9.92,129900,10.01,67760,9.91,64200,10.02,38217,9.9,113700,10.03,93800,9.89,47700,10.04,93460,9.88,42200,10.05,348340,9.87,49700,10.06,58277
31,34293000,9.96,50780,9.97,42009,9.95,198000,9.98,95420,9.94,8000,9.99,184479,9.93,28900,10.0,156413,9.92,129900,10.01,67760,9.91,65200,10.02,38217,9.9,113700,10.03,93800,9.89,47700,10.04,93460,9.88,42200,10.05,348340,9.87,49700,10.06,58277
32,34296000,9.96,50770,9.97,42009,9.95,198000,9.98,95420,9.94,8000,9.99,184479,9.93,31900,10.0,156413,9.92,129900,10.01,67760,9.91,65200,10.02,38217,9.9,113700,10.03,93800,9.89,47700,10.04,93460,9.88,42200,10.05,348340,9.87,49700,10.06,58277
33,34297000,9.96,66670,9.97,41209,9.95,213500,9.98,95420,9.94,8000,9.99,184479,9.93,31900,10.0,156913,9.92,129900,10.01,67760,9.91,65200,10.02,38217,9.9,113700,10.03,93800,9.89,47700,10.04,93460,9.88,42200,10.05,348340,9.87,49700,10.06,58277
34,34302000,9.96,62650,9.97,42409,9.95,219500,9.98,95420,9.94,8000,9.99,183479,9.93,31900,10.0,156913,9.92,128400,10.01,67760,9.91,65200,10.02,38217,9.9,114200,10.03,93800,9.89,47700,10.04,93460,9.88,42200,10.05,353340,9.87,49700,10.06,58277
35,34304000,9.96,58950,9.97,42209,9.95,219500,9.98,95420,9.94,8000,9.99,183479,9.93,31900,10.0,156913,9.92,128400,10.01,67760,9.91,65200,10.02,38217,9.9,111600,10.03,93800,9.89,47700,10.04,93460,9.88,42200,10.05,353340,9.87,49700,10.06,58277
36,34308000,9.96,59950,9.97,42109,9.95,219500,9.98,95420,9.94,8000,9.99,183479,9.93,31900,10.0,156913,9.92,128400,10.01,67760,9.91,65200,10.02,38217,9.9,111600,10.03,93800,9.89,47700,10.04,93460,9.88,43200,10.05,353340,9.87,49700,10.06,58277
37,34311000,9.96,61950,9.97,42109,9.95,219500,9.98,95420,9.94,8000,9.99,183479,9.93,31900,10.0,157013,9.92,128400,10.01,67860,9.91,65200,10.02,38217,9.9,111600,10.03,93800,9.89,47700,10.04,93460,9.88,43200,10.05,353340,9.87,49700,10.06,58277
38,34313000,9.96,60550,9.97,40609,9.95,219500,9.98,95420,9.94,8000,9.99,183479,9.93,33400,10.0,157013,9.92,128400,10.01,67860,9.91,65200,10.02,38217,9.9,111600,10.03,93800,9.89,47700,10.04,93460,9.88,43200,10.05,353340,9.87,49700,10.06,58277
39,34317000,9.96,60550,9.97,41109,9.95,269500,9.98,95420,9.94,8000,9.99,183479,9.93,33400,10.0,157013,9.92,129400,10.01,67860,9.91,65200,10.02,38117,9.9,111600,10.03,93800,9.89,47700,10.04,93460,9.88,43200,10.05,353340,9.87,49700,10.06,58277
40,34320000,9.96,46950,9.97,41109,9.95,269500,9.98,95420,9.94,8000,9.99,183479,9.93,33400,10.0,194113,9.92,129400,10.01,67860,9.91,65200,10.02,38117,9.9,111100,10.03,93800,9.89,47700,10.04,93460,9.88,43200,10.05,353340,9.87,49700,10.06,58277
41,34322000,9.96,46950,9.97,38709,9.95,269500,9.98,95420,9.94,8000,9.99,183479,9.93,33400,10.0,194313,9.92,129400,10.01,67860,9.91,65200,10.02,38117,9.9,111100,10.03,93800,9.89,47700,10.04,93460,9.88,43200,10.05,353340,9.87,49700,10.06,58277
42,34326000,9.96,56850,9.97,37609,9.95,270500,9.98,98100,9.94,8000,9.99,183479,9.93,33400,10.0,194313,9.92,129400,10.01,67860,9.91,65600,10.02,38117,9.9,111100,10.03,93800,9.89,47700,10.04,93460,9.88,43200,10.05,353340,9.87,49700,10.06,58277
43,34328000,9.96,63050,9.97,37609,9.95,270500,9.98,98100,9.94,6000,9.99,183479,9.93,33400,10.0,194313,9.92,129400,10.01,67860,9.91,65900,10.02,38117,9.9,111100,10.03,93800,9.89,47700,10.04,93460,9.88,43200,10.05,353340,9.87,49700,10.06,58277
44,34331000,9.96,64050,9.97,47609,9.95,270500,9.98,98100,9.94,6000,9.99,183479,9.93,33400,10.0,194313,9.92,129400,10.01,67860,9.91,65900,10.02,38117,9.9,111100,10.03,93800,9.89,47700,10.04,93960,9.88,43200,10.05,353340,9.87,49700,10.06,58277
45,34335000,9.96,63950,9.97,47809,9.95,256800,9.98,98100,9.94,6000,9.99,183479,9.93,33400,10.0,194613,9.92,129400,10.01,67860,9.91,65900,10.02,38117,9.9,111100,10.03,93800,9.89,47700,10.04,93960,9.88,43200,10.05,353340,9.87,49700,10.06,58277
46,34338000,9.96,66150,9.97,38309,9.95,256800,9.98,98100,9.94,6000,9.99,185479,9.93,33400,10.0,194613,9.92,129500,10.01,67860,9.91,65900,10.02,38117,9.9,111100,10.03,93800,9.89,42700,10.04,93960,9.88,43200,10.05,353340,9.87,49700,10.06,58277
47,34340000,9.96,66150,9.97,38109,9.95,256800,9.98,98100,9.94,6000,9.99,185479,9.93,33400,10.0,194613,9.92,129500,10.01,67860,9.91,65900,10.02,38117,9.9,111100,10.03,93800,9.89,42700,10.04,93960,9.88,43200,10.05,353340,9.87,49700,10.06,58277
48,34342000,9.96,81450,9.97,39409,9.95,256800,9.98,98100,9.94,6000,9.99,185479,9.93,33400,10.0,194613,9.92,129500,10.01,67860,9.91,65900,10.02,38117,9.9,111100,10.03,93800,9.89,42700,10.04,93960,9.88,43200,10.05,353340,9.87,49700,10.06,58277
49,34347000,9.96,77050,9.97,38609,9.95,257100,9.98,98100,9.94,6000,9.99,185479,9.93,33400,10.0,194613,9.92,130000,10.01,67860,9.91,65900,10.02,38117,9.9,111100,10.03,93800,9.89,42700,10.04,93960,9.88,43200,10.05,353340,9.87,49700,10.06,58277
50,34350000,9.96,144850,9.97,37609,9.95,257100,9.98,98100,9.94,6000,9.99,185479,9.93,33400,10.0,194613,9.92,140000,10.01,67860,9.91,65900,10.02,38117,9.9,111100,10.03,93800,9.89,42700,10.04,93960,9.88,43200,10.05,353340,9.87,49700,10.06,58277
51,34353000,9.96,144350,9.97,39109,9.95,260100,9.98,97100,9.94,6000,9.99,185479,9.93,33400,10.0,194613,9.92,140000,10.01,67860,9.91,65900,10.02,38117,9.9,110600,10.03,93800,9.89,42700,10.04,93960,9.88,43200,10.05,353340,9.87,49700,10.06,58277
52,34355000,9.97,9391,9.98,97100,9.96,145550,9.99,185479,9.95,260100,10.0,194613,9.94,6000,10.01,67860,9.93,33900,10.02,38117,9.92,140000,10.03,93800,9.91,65900,10.04,93960,9.9,118100,10.05,353340,9.89,42700,10.06,58277,9.88,43200,10.07,60800
53,34359000,9.98,1900,9.99,185479,9.97,10191,10.0,195113,9.96,146850,10.01,67860,9.95,260100,10.02,38117,9.94,16700,10.03,93800,9.93,33900,10.04,93960,9.92,140000,10.05,353340,9.91,65900,10.06,58277,9.9,118100,10.07,60800,9.89,42700,10.08,591400
54,34362000,9.97,13791,9.99,185479,9.96,172350,10.0,195113,9.95,260100,10.01,67860,9.94,16700,10.02,38117,9.93,33900,10.03,93800,9.92,140000,10.04,93960,9.91,65900,10.05,353340,9.9,120000,10.06,58277,9.89,42700,10.07,60800,9.88,43200,10.08,591400
55,34365000,9.96,170850,9.97,8209,9.95,259400,9.99,185479,9.94,16700,10.0,193313,9.93,33900,10.01,67860,9.92,141000,10.02,38117,9.91,65900,10.03,93800,9.9,120000,10.04,93960,9.89,42700,10.05,353340,9.88,43200,10.06,58277,9.87,49700,10.07,60800
56,34368000,9.96,175350,9.97,7509,9.95,262400,9.99,185479,9.94,16700,10.0,193313,9.93,33900,10.01,67860,9.92,141000,10.02,38117,9.91,65900,10.03,93800,9.9,127600,10.04,93960,9.89,42700,10.05,354240,9.88,43200,10.06,58277,9.87,49700,10.07,60800
57,34371000,9.96,175350,9.97,5709,9.95,262400,9.99,185479,9.94,16700,10.0,193313,9.93,34700,10.01,67860,9.92,141000,10.02,38117,9.91,65900,10.03,93800,9.9,127900,10.04,93960,9.89,42700,10.05,354240,9.88,43200,10.06,58277,9.87,49700,10.07,60800
58,34374000,9.97,16091,9.98,6000,9.96,173150,9.99,182479,9.95,260100,10.0,193313,9.94,16700,10.01,67860,9.93,34700,10.02,38117,9.92,141000,10.03,93800,9.91,67100,10.04,93960,9.9,127900,10.05,354240,9.89,42700,10.06,58277,9.88,43200,10.07,60800
59,34377000,9.97,17091,9.98,5900,9.96,173150,9.99,186179,9.95,260100,10.0,193313,9.94,16700,10.01,67860,9.93,34700,10.02,39117,9.92,141000,10.03,93800,9.91,67100,10.04,93960,9.9,127900,10.05,354240,9.89,42700,10.06,58277,9.88,43200,10.07,60800
60,34380000,9.97,13711,9.98,5900,9.96,163150,9.99,186179,9.95,255500,10.0,183313,9.94,16700,10.01,67860,9.93,34700,10.02,39117,9.92,141000,10.03,93800,9.91,67100,10.04,93960,9.9,127900,10.05,354240,9.89,42700,10.06,58277,9.88,43200,10.07,60800
61,34383000,9.97,13711,9.99,183079,9.96,163150,10.0,183313,9.95,255000,10.01,67860,9.94,16700,10.02,39117,9.93,34700,10.03,93800,9.92,141000,10.04,93960,9.91,67100,10.05,354240,9.9,127900,10.06,58277,9.89,42700,10.07,60800,9.88,43200,10.08,591900
62,34386000,9.97,13311,9.99,181479,9.96,283150,10.0,183313,9.95,255000,10.01,67860,9.94,16700,10.02,39117,9.93,34700,10.03,93800,9.92,141000,10.04,93960,9.91,67100,10.05,354240,9.9,127900,10.06,58277,9.89,42700,10.07,60800,9.88,43200,10.08,591900
