,time,price,size
255,34436210,9.98,1900
256,34437220,9.98,100
257,34439220,9.97,200
258,34441650,9.98,400
259,34441760,9.98,9000
260,34442700,9.98,400
261,34442890,9.98,4743
262,34442890,9.98,500
263,34442890,9.98,1500
264,34442890,9.98,13257
265,34443800,9.98,200
266,34444200,9.98,5600
267,34444220,9.98,800
268,34445000,9.98,100
269,34446800,9.98,1000
270,34448970,9.98,2300
271,34453440,9.98,3000
272,34453760,9.98,800
273,34454030,9.98,10000
274,34454470,9.98,2600
275,34456140,9.98,100
276,34459740,9.97,4320
277,34460650,9.98,5000
278,34463620,9.98,5000
279,34464960,9.98,243
280,34464960,9.98,600
281,34464960,9.98,1157
282,34468030,9.98,300
283,34468340,9.98,143
284,34468340,9.98,800
285,34468340,9.98,500
286,34468340,9.98,5000
287,34468340,9.98,500
288,34468340,9.98,33057
289,34472500,9.98,100
290,34473690,9.97,2200
291,34475260,9.98,900
292,34476010,9.98,600
293,34476240,9.98,1700
294,34477110,9.98,1000
295,34482390,9.97,200
296,34482650,9.97,1800
297,34482650,9.97,500
298,34482650,9.97,1300
299,34482650,9.97,400
300,34483160,9.97,400
301,34483180,9.97,200
302,34483180,9.97,1300
303,34485640,9.97,700
304,34485640,9.97,452
305,34486110,9.98,4600
306,34489310,9.97,400
307,34489810,9.97,148
308,34489810,9.97,500
309,34489810,9.97,700
310,34489810,9.97,1000
311,34489820,9.97,1000
312,34489820,9.97,1000
313,34489820,9.97,1500
314,34489820,9.97,2432
315,34491470,9.97,600
316,34493070,9.97,19000
317,34493280,9.98,800
318,34493530,9.98,7243
319,34493530,9.98,1000
320,34493530,9.98,500
321,34493530,9.98,1000
322,34493530,9.98,29657
323,34496190,9.98,300
324,34501910,9.98,100
325,34502030,9.98,5243
326,34502030,9.98,2000
327,34502030,9.98,1000
328,34502030,9.98,757
329,34502380,9.97,2000
330,34504370,9.97,1000
331,34505010,9.98,49243
332,34505010,9.98,400
333,34505010,9.98,500
334,34505010,9.98,1100
335,34505010,9.98,500
336,34505010,9.98,1000
337,34505010,9.98,1000
338,34505010,9.98,800
339,34505010,9.98,100
340,34505010,9.98,1920
341,34505010,9.98,300
342,34507390,9.98,900
343,34508140,9.98,100
344,34508150,9.98,460
345,34510620,9.99,9800
346,34510620,9.99,200
347,34510620,9.99,1000
348,34510620,9.99,30000
349,34510620,9.99,900
350,34510620,9.99,1900
351,34510620,9.99,400
352,34510620,9.99,1000
353,34510620,9.99,10000
354,34510620,9.99,300
355,34510620,9.99,500
356,34510620,9.99,1000
357,34510620,9.99,8449
358,34510620,9.99,1000
359,34510620,9.99,2000
360,34510620,9.99,1080
361,34510620,9.99,2000
362,34510620,9.99,2000
363,34510620,9.99,200
364,34510620,9.99,1000
365,34510620,9.99,700
366,34510620,9.99,1900
367,34510620,9.99,1900
368,34510620,9.99,500
369,34510620,9.99,2700
370,34510620,9.99,2000
371,34510620,9.99,5000
372,34510620,9.99,5000
373,34510620,9.99,20500
374,34510620,9.99,5000
375,34510620,9.99,500
376,34510620,9.99,20500
377,34510620,9.99,4571
378,34515610,9.98,300
379,34516070,9.98,25000
380,34516160,9.99,429
381,34516160,9.99,1000
382,34516160,9.99,19271
383,34516500,9.98,10000
384,34517370,9.98,277
385,34517370,9.98,500
386,34517370,9.98,1223
387,34518230,9.99,4729
388,34518230,9.99,1000
389,34518230,9.99,500
390,34518230,9.99,800
391,34518230,9.99,250
392,34518230,9.99,100
393,34518230,9.99,2000
394,34518230,9.99,4300
395,34518230,9.99,3000
396,34518230,9.99,200
397,34518230,9.99,300
398,34518230,9.99,3800
399,34518230,9.99,1000
400,34518230,9.99,500
401,34518230,9.99,2500
402,34518230,9.99,400
403,34518230,9.99,2500
404,34518230,9.99,1600
405,34518230,9.99,200
406,34518230,9.99,2000
407,34518230,9.99,1000
408,34518230,9.99,2000
409,34518230,10.0,513
410,34518230,10.0,700
411,34518230,10.0,400
412,34518230,10.0,384
413,34518230,10.0,500
414,34518230,10.0,2000
415,34518230,10.0,1440
416,34518230,10.0,200
417,34518230,10.0,4000
418,34518230,10.0,1000
419,34518230,10.0,2000
420,34518230,10.0,600
421,34518230,10.0,1000
422,34518230,10.0,576
423,34518230,10.0,600
424,34518230,10.0,100
425,34518230,10.0,100
426,34518230,10.0,500
427,34518230,10.0,1400
428,34518230,10.0,1000
429,34518230,10.0,1200
430,34518230,10.0,1000
431,34518230,10.0,200
432,34518230,10.0,300
433,34518230,10.0,900
434,34518230,10.0,500
435,34518230,10.0,300
436,34518230,10.0,600
437,34518230,10.0,7300
438,34518230,10.0,500
439,34518230,10.0,2500
440,34518230,10.0,500
441,34518230,10.0,1000
442,34518230,10.0,20000
443,34518230,10.0,1200
444,34518230,10.0,50000
445,34518230,10.0,1000
446,34518230,10.0,2200
447,34518230,10.0,1000
448,34518230,10.0,5000
449,34518230,10.0,2000
450,34518230,10.0,1000
451,34518230,10.0,300
452,34518230,10.0,2200
453,34518230,10.0,500
454,34518230,10.0,300
455,34518230,10.0,1000
456,34518230,10.0,500
457,34518230,10.0,100
458,34518230,10.0,200
459,34518230,10.0,300
460,34518230,10.0,500
461,34518230,10.0,2100
462,34518230,10.0,1000
463,34518230,10.0,2000
464,34518230,10.0,5000
465,34518230,10.0,200
466,34518230,10.0,6400
467,34518230,10.0,300
468,34518230,10.0,13400
469,34518230,10.0,800
470,34518230,10.0,11900
471,34518230,10.0,500
472,34518230,10.0,1200
473,34518230,10.0,1000
474,34519950,10.0,500
475,34520530,10.0,500
476,34525000,10.0,1200
477,34526430,10.0,100
478,34526430,10.0,100
479,34526430,10.0,100
480,34526430,10.0,100
481,34526430,10.0,100
482,34526430,10.0,100
483,34526430,10.0,100
484,34526430,10.0,100
485,34526430,10.0,100
486,34526430,10.0,100
487,34526430,10.0,100
488,34526530,10.0,100
489,34526530,10.0,100
490,34526530,10.0,100
491,34526530,10.0,100
492,34526530,10.0,100
493,34526530,10.0,100
494,34526530,10.0,100
495,34526530,10.0,100
496,34526530,10.0,100
497,34526770,10.0,20000
498,34529390,10.0,800
499,34530160,10.0,200
500,34530330,10.0,200
501,34535030,10.01,600
502,34536090,10.01,200
503,34536090,10.01,200
504,34536090,10.01,1600
505,34536270,10.0,400
506,34538620,10.01,3000
507,34538770,10.01,200
508,34538770,10.01,100
509,34539570,10.01,1000
510,34540260,10.01,200
511,34541280,10.01,100
512,34541310,10.01,100
513,34542230,10.01,800
514,34542910,10.01,5000
515,34543520,10.0,1000
516,34543660,10.0,2200
517,34545560,10.01,200
518,34545660,10.01,100
519,34545660,10.01,100
520,34546690,10.0,5000
521,34546880,10.0,3000
522,34548030,10.01,2400
523,34548750,10.01,500
524,34549210,10.0,10100
525,34549480,10.01,1400
526,34549670,10.01,1000
527,34549930,10.01,1500
528,34550280,10.01,600
529,34550280,10.01,200
530,34551100,10.0,3720
531,34551330,10.01,1800
532,34551330,10.01,1200
533,34551710,10.01,360
534,34551710,10.01,140
535,34552380,10.01,1000
536,34552680,10.0,5000
537,34552920,10.01,8860
538,34552920,10.01,640
539,34553840,10.0,800
540,34554260,10.0,500
541,34554280,10.01,2000
542,34555550,10.01,2360
543,34555550,10.01,7640
544,34555800,10.01,2360
545,34555800,10.01,640
546,34556540,10.01,100
547,34558290,10.01,260
548,34558290,10.01,140
549,34558560,10.0,100
550,34559490,10.0,2000
551,34560750,10.0,14807
552,34561500,10.01,100
553,34561920,10.01,2760
554,34561920,10.01,500
555,34561920,10.01,100
556,34561920,10.01,5000
557,34561920,10.01,640
558,34562160,10.01,1300
559,34562580,10.0,120381
560,34562580,10.0,400
561,34562580,10.0,300
562,34562580,10.0,300
563,34562580,10.0,500
564,34562580,10.0,5000
565,34562580,10.0,300
566,34562580,10.0,2000
567,34562580,10.0,200
568,34562730,10.0,300
569,34564670,10.0,1000
570,34565350,10.0,1100
571,34565490,10.0,3000
572,34565780,10.0,100
573,34566100,10.0,100
574,34567190,9.99,700
575,34567190,9.99,1000
576,34567190,9.99,200
577,34570390,10.0,1400
578,34570410,10.0,200
579,34570700,9.99,600
580,34570700,9.98,1700
581,34570730,10.0,100
582,34572200,9.98,77
583,34572200,9.98,123
584,34573120,9.99,7700
585,34573120,10.0,13319
586,34573120,10.0,1200
587,34573120,10.0,3720
588,34573120,10.0,3861
589,34575200,10.0,100
590,34576910,10.0,5000
591,34578040,10.0,8039
592,34578040,10.0,1961
593,34578180,10.0,1039
594,34578180,10.0,500
595,34578180,10.0,1000
596,34578180,10.0,1000
597,34578180,10.0,400
598,34578180,10.0,161
599,34580530,10.0,339
600,34580530,10.0,61
601,34582660,9.98,466
602,34583510,9.99,2000
603,34583510,10.0,22539
604,34583510,10.0,500
605,34583510,10.0,300
606,34583510,10.0,100
607,34583510,10.0,2000
608,34586570,10.01,60
609,34586570,10.01,40
610,34587020,10.0,1000
611,34587950,10.0,261
612,34587950,10.0,3339
613,34588810,10.0,1500
614,34588990,10.0,500
615,34591030,10.0,500
616,34591550,10.0,940
617,34591910,10.0,2521
618,34591910,10.0,900
619,34591910,10.0,800
620,34592820,9.99,100
621,34594310,9.99,1000
622,34594310,9.98,5411
623,34594310,9.98,3489
624,34598570,10.0,500
625,34598570,10.0,1500
626,34599050,10.0,400
627,34599960,10.0,900
628,34600950,10.0,47200
629,34600950,10.0,5000
630,34600950,10.0,5300
631,34600950,10.0,200
632,34600950,10.0,400
633,34600950,10.0,4000
634,34600950,10.0,499
635,34600950,10.0,1000
636,34600950,10.0,1000
637,34601380,10.0,800
638,34601560,10.01,960
639,34601560,10.01,3000
640,34601560,10.01,1200
641,34601560,10.01,2000
642,34601560,10.01,540
643,34601700,10.0,9800
644,34601850,10.0,12000
645,34602610,10.0,1000
646,34603460,10.0,2000
647,34605620,10.0,9801
648,34605620,10.0,1500
649,34606420,10.0,200
650,34607690,10.0,500
651,34608120,10.0,100
652,34612140,9.99,500
653,34612140,9.99,500
654,34615240,10.0,100
655,34616440,9.99,528
656,34617530,9.99,1600
657,34617910,9.99,372
658,34617910,9.99,128
659,34618400,10.0,50000
660,34619060,9.99,272
661,34619060,9.99,6000
662,34619060,9.99,5600
663,34619060,9.99,700
664,34619060,9.99,500
665,34619060,9.99,10000
666,34619060,9.99,500
667,34619280,9.99,3300
668,34619510,9.99,700
669,34621970,9.99,9000
670,34621980,9.99,9000
671,34622710,9.99,600
672,34624320,9.98,13211
673,34624320,9.98,600
674,34624320,9.98,100
675,34624320,9.98,100
676,34624320,9.98,3000
677,34624320,9.98,2000
678,34624320,9.98,1189
679,34624420,9.99,1000
680,34625620,9.99,100
681,34626690,9.99,600
682,34626690,9.98,1000
683,34626850,9.99,100
684,34626900,9.99,100
685,34627630,9.99,100
686,34628020,9.99,800
687,34629370,9.99,1000
688,34629420,9.99,5000
689,34630490,9.98,600
690,34631220,9.99,4900
691,34631520,9.99,400
692,34633350,9.99,1000
693,34638520,9.99,3300
694,34639540,9.99,85428
695,34639540,9.99,480
696,34639540,9.99,3720
697,34639540,9.99,3000
698,34639540,9.99,7372
699,34640750,9.99,628
700,34640750,9.99,172
701,34641630,9.99,100
702,34643440,9.99,500
703,34646270,9.98,1000
704,34647090,9.99,200
705,34649130,9.99,200
706,34649400,9.98,400
707,34649510,9.98,300
708,34650050,9.99,200
709,34650330,9.99,300
710,34652840,9.99,300
711,34653390,9.99,1100
712,34654020,9.99,2000
713,34654450,9.99,4282
714,34654450,9.99,600
715,34654450,9.99,2000
716,34654450,9.99,1000
717,34655070,9.99,200
718,34655660,9.99,200
719,34655860,10.0,1000
720,34656360,10.0,3799
721,34656360,10.0,1201
722,34657180,9.99,1100
723,34657770,9.99,400
724,34662870,9.99,300
725,34663660,10.0,100
726,34665600,9.99,11500
727,34666000,9.99,1600
728,34668840,9.99,500
729,34670350,9.99,2000
730,34671550,9.99,450
731,34672540,9.99,300
732,34673930,9.99,500
733,34674620,9.99,3000
734,34674840,10.0,300
735,34675090,9.99,7600
736,34676010,9.99,2300
737,34676090,10.0,399
738,34676090,10.0,1601
739,34676550,9.99,1000
740,34676980,9.99,9168
741,34676980,9.99,2000
742,34676980,9.99,4500
743,34676980,9.99,1500
744,34676980,9.99,2000
745,34676980,9.99,3000
746,34676980,9.99,20000
747,34676980,9.99,1200
748,34676980,9.99,2000
749,34677750,9.99,1000
750,34680130,9.98,100
751,34682120,9.99,9000
752,34683370,9.98,2300
753,34687010,9.99,100
754,34687140,9.99,100
755,34688130,9.99,2100
756,34688230,9.99,100
757,34688390,9.99,100
758,34689150,9.99,800
759,34689330,9.99,1000
760,34690200,9.99,200
761,34696530,9.99,100
762,34697730,9.99,10000
763,34699300,9.99,300
764,34703690,9.99,100
765,34703890,9.99,2500
766,34704330,9.98,100
767,34709520,9.99,200
768,34709570,9.99,600
769,34710160,9.99,100
770,34710310,9.99,200
771,34710980,9.99,6100
772,34711280,9.98,3011
773,34711280,9.98,2000
774,34711280,9.98,4989
775,34712680,9.99,700
776,34713470,9.98,500
777,34714210,9.99,1000
778,34716530,9.99,95200
779,34718630,9.99,2700
780,34718950,9.98,2300
781,34719170,9.98,7111
782,34719170,9.98,1000
783,34719170,9.98,1400
784,34719170,9.98,500
785,34719170,9.98,3500
786,34719170,9.98,1000
787,34719170,9.98,4300
788,34719170,9.98,24600
789,34719170,9.98,500
790,34719170,9.98,1500
791,34719170,9.98,1400
792,34719170,9.98,500
793,34719170,9.98,34189
794,34719340,9.98,15811
795,34719340,9.98,1900
796,34719340,9.98,22500
797,34719340,9.98,2000
798,34719340,9.98,3000
799,34719340,9.98,100
800,34719340,9.98,300
801,34719340,9.98,300
802,34719340,9.98,400
803,34719340,9.98,1000
804,34719340,9.98,6800
805,34719340,9.98,1200
806,34719340,9.98,3000
807,34719340,9.98,2800
808,34719340,9.98,500
809,34719340,9.98,1000
810,34719340,9.98,500
811,34719340,9.98,2500
812,34724460,9.98,1000
813,34724810,9.98,5000
814,34726650,9.98,300
815,34727190,9.98,500
816,34731180,9.97,400
817,34735380,9.98,3000
818,34738140,9.98,800
819,34738780,9.97,1000
820,34742030,9.98,9000
821,34746800,9.97,200
822,34747420,9.97,1000
823,34748430,9.98,500
824,34751540,9.98,100
825,34753620,9.98,182189
826,34753620,9.98,120
827,34753620,9.98,1900
828,34753620,9.99,20332
829,34753620,9.99,1000
830,34753620,9.99,3800
831,34753620,9.99,600
832,34753620,9.99,300
833,34753620,9.99,1000
834,34753620,9.99,3000
835,34753620,9.99,1000
836,34753620,9.99,300
837,34753620,9.99,4000
838,34753620,9.99,300
839,34753620,9.99,500
840,34753620,9.99,500
841,34753620,9.99,700
842,34753620,9.99,2700
843,34753620,9.99,1000
844,34753630,9.99,10000
845,34753630,9.99,600
846,34753630,9.99,300
847,34754370,9.99,700
848,34755480,9.99,2300
849,34756490,9.99,200
850,34758460,9.99,46459
851,34758460,9.98,300
852,34758460,9.98,400
853,34758460,9.98,20000
854,34758460,9.97,29568
855,34758460,9.97,5000
856,34758460,9.97,48273
857,34759290,9.97,1
858,34761140,9.99,100
859,34764760,9.98,100
860,34766380,9.98,100
861,34767580,9.98,200
862,34770660,9.99,100
863,34771660,9.99,600
864,34772550,9.99,300
865,34772550,9.99,500
866,34772550,9.99,2400
867,34773000,9.99,1000
868,34776500,9.99,95800
869,34776500,9.99,11000
870,34776640,9.99,900
871,34776950,9.98,9600
872,34776950,9.98,1300
873,34776950,9.98,200
874,34776950,9.98,500
875,34776950,9.98,12000
876,34783670,9.99,100
877,34784380,9.99,500
878,34784560,9.98,400
879,34785100,9.99,4100
880,34786950,9.99,800
881,34788210,9.98,1920
882,34796230,9.99,400
883,34801280,9.98,3720
884,34802010,9.99,9000
885,34804220,9.98,200
886,34806690,9.99,100
887,34807510,9.99,100
888,34809160,9.99,100
889,34813180,9.99,100
890,34813650,9.99,3000
891,34813680,9.98,14807
892,34815760,9.98,2300
893,34816790,9.98,6000
894,34817470,9.99,300
895,34817810,9.98,31553
896,34817810,9.98,10000
897,34817810,9.98,15500
898,34817810,9.98,1100
899,34817810,9.98,2000
900,34817810,9.98,190
901,34818840,9.99,8100
902,34818840,9.99,200
903,34818840,9.99,4500
904,34818880,9.99,500
905,34818880,9.99,200
906,34818880,9.99,1000
907,34818880,9.99,400
908,34818910,9.98,1810
909,34818910,9.98,8190
910,34819780,9.99,100
911,34819850,9.98,1810
912,34819850,9.98,1100
913,34819850,9.98,4790
914,34820370,9.98,14807
915,34821300,9.99,100
916,34821650,9.99,10000
917,34821870,9.98,403
918,34821870,9.98,13400
919,34821870,9.98,776
920,34821970,9.99,1100
921,34824320,9.99,600
922,34826500,9.98,1900
923,34826580,9.98,300
924,34830030,9.98,6224
925,34830030,9.98,6700
926,34830030,9.98,500
927,34830030,9.98,400
928,34830030,9.98,700
929,34830030,9.98,200
930,34830030,9.98,87
931,34835150,9.98,700
932,34835220,9.99,100
933,34836000,9.99,800
934,34840010,9.98,2300
935,34843060,9.98,700
936,34847460,9.98,934
937,34848500,9.98,279
938,34848500,9.98,700
939,34848500,9.98,1000
940,34848500,9.98,1300
941,34848500,9.98,500
942,34848500,9.98,1000
943,34848500,9.98,1000
944,34848500,9.97,9032
945,34849820,9.97,5200
946,34849820,9.97,5200
947,34849820,9.97,5200
948,34849820,9.97,5200
949,34849820,9.97,5200
950,34849820,9.97,5200
951,34849820,9.97,5200
952,34849820,9.97,5200
953,34849820,9.97,5200
954,34849820,9.97,5200
955,34849820,9.97,5200
956,34849830,9.97,5200
957,34849920,9.97,5200
958,34849970,9.97,5200
959,34849970,9.97,1694
960,34849970,9.97,1800
961,34849970,9.97,1000
962,34849970,9.97,706
963,34849970,9.97,1994
964,34849970,9.97,200
965,34849970,9.97,3000
966,34849970,9.97,6
967,34849970,9.97,994
968,34849970,9.97,500
969,34849970,9.97,1000
970,34849970,9.97,1000
971,34849970,9.97,500
972,34849970,9.97,800
973,34849970,9.97,300
974,34849970,9.97,106
975,34849970,9.97,5200
976,34849970,9.97,4694
977,34849970,9.97,506
978,34849970,9.97,594
979,34849970,9.97,100
980,34849970,9.97,200
981,34849970,9.97,4306
982,34849970,9.97,5200
983,34849970,9.97,794
984,34849970,9.97,2000
985,34849970,9.97,200
986,34849970,9.97,100
987,34849970,9.97,1100
988,34849970,9.97,1006
989,34849970,9.97,194
990,34849970,9.97,1200
991,34849970,9.97,500
992,34849970,9.97,1100
993,34849970,9.97,2206
994,34849970,9.97,1994
995,34849970,9.97,1000
996,34849970,9.97,800
997,34849970,9.97,400
998,34849970,9.97,500
999,34849970,9.97,506
1000,34849970,9.97,5200
1001,34854080,9.97,200
1002,34854080,9.97,100
1003,34855150,9.98,4100
1004,34855150,9.98,1000
1005,34857510,9.97,14811
1006,34858280,9.97,2200
1007,34859110,9.97,4400
1008,34859460,9.97,2000
